data_key,data_period,Prorrata
10949,14,0.0
10949,15,0.0
10949,16,0.0
10949,17,0.0
10949,18,0.0
10949,19,0.0
10963,9,0.13
10963,10,0.0
10963,11,0.0
10963,12,0.0
10963,13,0.0
10963,14,0.0
10963,15,0.0
10963,16,0.0
10963,17,0.0
10963,18,0.0
10963,19,0.0
10977,9,0.6
10977,10,0.0
10977,11,0.0
10977,12,0.0
10977,13,0.0
10977,14,0.0
10977,15,0.0
10977,16,0.0
10977,17,0.0
10977,18,0.0
10977,19,0.0
11005,9,1.43
11005,10,0.0
11005,11,0.0
11005,12,0.0
11005,13,14.159674676874705
11005,14,40.74039236381245
11005,15,55.091628096447835
11005,16,60.60524957773682
11005,17,58.181773564436064
11005,18,66.20015018757613
11005,19,64.33986037612569
11117,9,14.5
11117,10,32.218752554725185
11117,11,37.532325597374694
11117,12,40.22533483558766
11117,13,33.81403425774982
11117,14,34.83933781020274
11117,15,34.04182956683652
11117,16,35.6625886449146
11117,17,34.03880250389639
11117,18,37.368086775043984
11117,19,38.85254155065042
11215,9,30.03
11215,17,28.073251456100284
11215,18,33.25233444293302
11215,19,31.15040960660779
11243,9,9.31
11243,10,11.895553955634787
11243,11,12.333167269668623
11243,12,11.723698065688671
11243,13,9.75049897728743
11243,14,9.639183928123456
11243,15,9.498305472250696
11243,16,9.924316008829585
11243,17,9.241651818941179
11243,18,10.78623637876844
11243,19,10.100103957772669
11257,9,2.9
11257,10,3.7224764037024354
11257,11,5.292133276468697
11257,12,6.462077183082481
11257,13,6.16396746768747
11257,14,6.151039236381244
11257,15,6.134162809644784
11257,16,6.293524957773683
11257,17,4.895177356443607
11257,18,4.031015018757612
11257,19,2.7417860376125702
11313,9,2.5786553345
11313,10,2.5179737181024358
11313,11,2.086129553368698
11313,12,1.75728097948248
11313,13,0.95919543398747
11313,14,0.9478370268812438
11313,15,0.929667387244783
11313,16,1.0892614079736826
11313,17,0.7904087407436067
11313,18,1.6259959756576126
11313,19,2.43729385021257
11383,9,45.29
11383,10,69.44794006170726
11383,11,87.26555460781164
11383,12,92.87461971804133
11383,13,83.84279112812452
11383,14,83.40732060635405
11383,15,80.78604682741307
11383,16,78.36208262956137
11383,17,67.12962260739343
11383,18,76.09025031262689
11383,19,67.68310062687615
11439,9,26.06
11439,10,34.381565437933965
11439,11,35.9521744369809
11439,12,34.6891350609258
11439,13,29.616139396412304
11439,14,29.24023848173316
11439,15,28.758104001861998
11439,16,29.8569769416518
11439,17,27.584622879480854
11439,18,31.16829979130058
11439,19,28.43542278324797
11523,9,1.0380247726
11523,10,0.9678126495512174
11523,11,1.1673050415343489
11523,12,1.17191993924124
11523,13,0.817755157143735
11523,14,0.7825494644906221
11523,15,0.7771822349223915
11523,16,0.8908259554868413
11523,17,0.6909362735218033
11523,18,1.159654359878806
11523,19,1.420082838106285
11537,9,43.06
11537,10,59.54291544351962
